[  10.  114.  223.]
[ 114.  332.  618.]
[ 332.   92.  403.]
[  92.  292.  745.]
[ 292.  291.  730.]
[  291.   290.  1292.]
[ 290.  322.  593.]
[ 322.  377.  382.]
[ 377.   26.  560.]
[  26.  378.  592.]
[ 378.  280.  544.]
[ 280.  409.  292.]
[ 409.  408.   39.]
[ 408.   82.  981.]
[  82.  382.   25.]
[ 382.  364.  675.]
[  364.   247.  1009.]
[ 247.   95.  166.]
[  95.  246.  792.]
[ 246.  327.  914.]
[ 327.  133.  729.]
[  133.   424.  1046.]
[ 424.  265.  165.]
[ 265.  425.  941.]
[ 425.  498.   57.]
[ 498.  127.  224.]
[ 127.  126.  244.]
[ 126.  249.  441.]
[ 249.  459.  238.]
[ 459.  295.  537.]
[ 295.  426.  105.]
[ 426.   38.  761.]
[  38.  376.  247.]
[ 376.  319.  585.]
[ 319.   41.  608.]
[  41.  169.  951.]
[ 169.  163.  105.]
[ 163.  170.  636.]
[ 170.  193.  617.]
[ 193.  245.  769.]
[ 245.  443.  772.]
[ 443.   84.   55.]
[  84.  259.  755.]
[ 259.  330.  782.]
[ 330.  463.  195.]
[  463.    31.  1030.]
[   31.   351.  1048.]
[ 351.  471.  409.]
[ 471.  470.  875.]
[ 470.  368.  334.]
[ 368.  215.  401.]
[ 215.  493.  191.]
[ 493.  494.  421.]
[ 494.  392.  759.]
[ 392.  115.  907.]
[  115.   254.  1109.]
[ 254.  490.  340.]
[  490.   191.  1140.]
[ 191.  190.    9.]
[  190.   315.  1159.]
[  315.   242.  1164.]
[ 242.  176.  649.]
[ 176.   57.  130.]
[  57.  289.  955.]
[ 289.  129.  165.]
[ 129.   20.  356.]
[  20.   12.  686.]
[  12.  385.  904.]
[  385.   307.  1045.]
[ 307.  308.  997.]
[  308.   208.  1105.]
[  208.   197.  1046.]
[ 197.  412.  564.]
[ 412.  401.  662.]
[ 401.  380.  885.]
[  380.    15.  1132.]
[  15.  211.  290.]
[ 211.  496.  783.]
[ 496.  495.  327.]
[ 495.   28.  843.]
[ 28.  29.  68.]
[   29.    83.  1029.]
[   83.    87.  1165.]
[   87.    88.  1058.]
[   88.   421.  1195.]
[  421.   477.  1205.]
[ 477.  476.  399.]
[ 476.  475.   37.]
[ 475.  323.  327.]
[ 323.   98.  295.]
[  98.  313.  902.]
[ 313.  487.  320.]
[ 487.  428.  896.]
[ 428.  185.  114.]
[ 185.  186.  719.]
[ 186.  429.  760.]
[ 429.  294.  924.]
[  294.   141.  1127.]
[ 141.  140.  887.]
[ 140.  139.  626.]
[ 139.  157.  874.]
[ 157.   99.    9.]
[  99.  113.   16.]
[  113.   397.  1008.]
[ 397.  132.  349.]
[ 132.  153.   59.]
[ 153.    1.  151.]
[   1.  316.  569.]
[ 316.  122.  788.]
[ 122.  121.  491.]
[ 121.    5.  722.]
[   5.   73.  784.]
[  73.   67.  842.]
[   67.     2.  1036.]
[   2.   39.  907.]
[  39.   40.  173.]
[   40.   138.  1128.]
[ 138.   55.  184.]
[  55.  188.  944.]
[ 188.  420.  243.]
[  420.   492.  1060.]
[ 492.  174.  694.]
[  174.    45.  1173.]
[   45.   227.  1183.]
[ 227.  473.  573.]
[  473.   500.  1052.]
[  500.   403.  1210.]
[  403.   175.  1216.]
[ 175.  256.  438.]
[ 256.  257.    1.]
[ 257.  274.  730.]
[ 274.  194.  583.]
[ 194.    8.  507.]
[   8.  438.  794.]
[  438.   145.  1112.]
[ 145.  370.  572.]
[ 370.  156.   76.]
[ 156.  155.  823.]
[ 155.  209.  944.]
[  209.   369.  1096.]
[  369.   251.  1209.]
[  251.   235.  1218.]
[ 235.  298.  449.]
[ 298.  162.  718.]
[ 162.  103.  291.]
[ 103.  161.  487.]
[  161.   286.  1270.]
[  286.   179.  1273.]
[ 179.  178.  653.]
[ 178.  468.  134.]
[ 468.  177.  620.]
[  177.   248.  1092.]
[ 248.  137.  835.]
[ 137.  167.  976.]
[ 167.  168.  428.]
[  168.   445.  1085.]
[ 445.  104.  896.]
[ 104.  229.  809.]
[  229.   439.  1304.]
[  439.   267.  1337.]
[  267.   350.  1054.]
[ 350.  195.  212.]
[ 195.  349.  510.]
[ 349.  200.  171.]
[ 200.  407.  146.]
[ 407.  352.  613.]
[ 352.   97.  975.]
[   97.   301.  1315.]
[ 301.  300.  157.]
[ 300.  299.  424.]
[  299.   143.  1350.]
[  143.   411.  1355.]
[ 411.  410.  579.]
[  410.   367.  1358.]
[ 367.   54.  863.]
[   54.    53.  1179.]
[  53.   52.  140.]
[  52.  414.  507.]
[  414.   109.  1368.]
[  109.   406.  1382.]
[  406.   423.  1392.]
[  423.   165.  1423.]
[ 165.  198.  414.]
[  198.   467.  1424.]
